MPI_Init,MPI_Finalize,MPI_Comm_rank,MPI_Comm_size,MPI_Bcast,MPI_Reduce,MPI_Send,MPI_Recv
,,,,,,,
2.0,8.0,,,,,,
11.0,20.0,3.0,1.0,,,,
60.0,76.0,48.0,42.0,1.0,,,
106.0,137.0,94.0,72.0,4.0,6.0,13.0,16.0
188.0,235.0,173.0,126.0,10.0,9.0,49.0,61.0
225.0,306.0,232.0,178.0,19.0,13.0,70.0,93.0
271.0,353.0,276.0,220.0,23.0,18.0,97.0,120.0
324.0,410.0,331.0,264.0,24.0,22.0,116.0,144.0
355.0,427.0,356.0,288.0,24.0,22.0,127.0,155.0
399.0,464.0,390.0,329.0,25.0,22.0,141.0,167.0
415.0,478.0,411.0,348.0,26.0,22.0,157.0,181.0
431.0,489.0,427.0,366.0,27.0,24.0,166.0,190.0
443.0,498.0,440.0,379.0,30.0,25.0,168.0,193.0
452.0,501.0,447.0,386.0,32.0,25.0,175.0,198.0
460.0,503.0,455.0,395.0,32.0,25.0,181.0,206.0
465.0,507.0,462.0,402.0,32.0,25.0,181.0,207.0
470.0,509.0,466.0,408.0,32.0,26.0,184.0,209.0
475.0,510.0,474.0,415.0,34.0,26.0,184.0,209.0
479.0,510.0,477.0,418.0,34.0,26.0,184.0,210.0
481.0,510.0,480.0,421.0,34.0,26.0,184.0,210.0
482.0,510.0,480.0,421.0,34.0,26.0,184.0,210.0
483.0,510.0,481.0,422.0,34.0,26.0,184.0,210.0
483.0,510.0,481.0,422.0,34.0,26.0,184.0,210.0
484.0,510.0,483.0,422.0,34.0,26.0,184.0,210.0
485.0,510.0,484.0,423.0,34.0,26.0,184.0,210.0
486.0,511.0,485.0,424.0,34.0,26.0,184.0,210.0
489.0,511.0,488.0,426.0,34.0,26.0,184.0,210.0
489.0,511.0,488.0,426.0,34.0,26.0,184.0,210.0
489.0,511.0,488.0,426.0,34.0,26.0,184.0,210.0
490.0,511.0,488.0,426.0,34.0,26.0,184.0,210.0
490.0,511.0,488.0,426.0,34.0,26.0,184.0,210.0
490.0,511.0,488.0,426.0,34.0,26.0,184.0,210.0
491.0,511.0,489.0,427.0,34.0,26.0,184.0,210.0
491.0,511.0,489.0,427.0,34.0,26.0,184.0,210.0
491.0,511.0,489.0,427.0,34.0,26.0,184.0,210.0
491.0,511.0,489.0,427.0,34.0,26.0,184.0,210.0
491.0,511.0,489.0,427.0,34.0,26.0,184.0,210.0
491.0,511.0,489.0,427.0,34.0,26.0,184.0,210.0
491.0,511.0,489.0,427.0,34.0,26.0,184.0,210.0
491.0,511.0,489.0,427.0,34.0,26.0,184.0,210.0
492.0,511.0,490.0,428.0,34.0,26.0,184.0,210.0
