Limit Functions,Locations,Functions,Args
1,,,
2,0.3125,0.8888888888888888,0.9375
3,0.4416666666666666,0.5698924731182795,0.9603174603174602
4,0.5384114583333333,0.6246031746031746,0.9748475609756098
5,0.5512403100775194,0.6461748633879782,0.976270107595611
6,0.5340848806366048,0.6027272727272727,0.9566751272836178
7,0.5250072737852778,0.6145056636973495,0.9593114566919047
8,0.5025776921223802,0.6092567007460624,0.9580939131466539
9,0.4969905495917057,0.6196939336790821,0.9568966780119601
10,0.48740598700330245,0.6126559390320858,0.9567997848977385
11,0.4803298993775184,0.6115013319243555,0.9534581076691466
12,0.471067654246845,0.604209686502722,0.9548184027478783
13,0.4664399084131526,0.6016494384365108,0.9548331026343735
14,0.4609197683492694,0.5968595520266312,0.9535927711061172
15,0.45669296388146224,0.597527104552652,0.9513999330589193
16,0.45594441377336115,0.59841152911381,0.9504765236216517
17,0.4540748947573396,0.5985323336988021,0.9493349750559029
18,0.45314340925007635,0.5976277362936159,0.9492401161135942
19,0.4522863081323429,0.5984275342029509,0.9495445187835181
20,0.4509991330908514,0.5996331687859113,0.9495144459933965
21,0.45056552027008634,0.600272812993145,0.9492836722348262
22,0.4494701199776163,0.5999246435035857,0.9494245509230628
23,0.44877959420699076,0.5999247306209224,0.9494946971769836
24,0.44795631225038746,0.5992319768904133,0.9494946971769836
25,0.4478270634501346,0.5992616977936539,0.9492876408097024
26,0.4475304126836321,0.598859322565781,0.9493577823853461
27,0.44726595176881506,0.5993209343925178,0.9494277301997309
28,0.4461151418649816,0.5997601426239109,0.9487079458935422
29,0.4461151418649816,0.5997601426239109,0.9487079458935422
30,0.4457345516190455,0.5990731321512602,0.9487079458935422
31,0.445352569231684,0.5995318585446799,0.9487784020118204
32,0.445352569231684,0.5995318585446799,0.9487784020118204
33,0.445352569231684,0.5995318585446799,0.9487784020118204
34,0.4453189477468499,0.5991732098900167,0.9485057293067287
35,0.4453189477468499,0.5991732098900167,0.9485057293067287
36,0.4453189477468499,0.5991732098900167,0.9485057293067287
37,0.4453189477468499,0.5991732098900167,0.9485057293067287
38,0.4453189477468499,0.5991732098900167,0.9485057293067287
39,0.4453189477468499,0.5991732098900167,0.9485057293067287
40,0.4453189477468499,0.5991732098900167,0.9485057293067287
41,0.4453189477468499,0.5991732098900167,0.9485057293067287
42,0.4450641049895792,0.5993453865910555,0.9483251278510575
